Date,Open,High,Low,Close,Adj Close,Volume
2023-04-11,13040.490234,13049.559570,12947.660156,12964.150391,12964.150391,4676960000
2023-04-12,13043.969727,13071.980469,12833.309570,12848.349609,12848.349609,4909770000
2023-04-13,12922.900391,13124.410156,12920.019531,13109.389648,13109.389648,4942990000
2023-04-14,13044.690430,13152.280273,12962.509766,13079.519531,13079.519531,4655740000
2023-04-17,13053.259766,13105.679688,12981.259766,13087.709961,13087.709961,4823180000
2023-04-18,13180.309570,13196.179688,13044.209961,13091.790039,13091.790039,4851810000
2023-04-19,12992.509766,13128.250000,12988.200195,13088.709961,13088.709961,4972700000
2023-04-20,12962.290039,13107.919922,12933.799805,12985.980469,12985.980469,4590530000
2023-04-21,12970.320313,13030.849609,12899.639648,13000.769531,13000.769531,4868050000
2023-04-24,12981.709961,13044.219727,12883.769531,12969.759766,12969.759766,4854050000
2023-04-25,12905.089844,12933.280273,12724.240234,12725.110352,12725.110352,4806020000
2023-04-26,12866.639648,12929.620117,12783.419922,12806.480469,12806.480469,5281970000
2023-04-27,12963.209961,13175.620117,12938.500000,13160.030273,13160.030273,5253710000
2023-04-28,13139.349609,13247.389648,13096.940430,13245.990234,13245.990234,5331380000
2023-05-01,13229.110352,13287.469727,13186.400391,13231.469727,13231.469727,5168430000
2023-05-02,13225.480469,13241.530273,13046.790039,13113.660156,13113.660156,5501410000
2023-05-03,13123.099609,13231.709961,13026.040039,13030.209961,13030.209961,5782160000
2023-05-04,13014.070313,13064.019531,12938.450195,12982.480469,12982.480469,4745780000
2023-05-05,13070.700195,13291.110352,13059.910156,13259.129883,13259.129883,4574790000
2023-05-08,13247.089844,13302.429688,13193.080078,13291.639648,13291.639648,4216360000
2023-05-09,13228.639648,13254.809570,13193.879883,13201.110352,13201.110352,4126780000
2023-05-10,13308.410156,13384.419922,13204.790039,13347.830078,13347.830078,4948260000
2023-05-11,13376.849609,13411.700195,13306.080078,13389.780273,13389.780273,4489490000
2023-05-12,13407.019531,13427.419922,13256.559570,13340.179688,13340.179688,4170000000
2023-05-15,13352.259766,13419.809570,13297.849609,13413.509766,13413.509766,3979290000
2023-05-16,13385.370117,13498.440430,13384.769531,13426.009766,13426.009766,4067510000
2023-05-17,13474.519531,13608.330078,13419.349609,13589.259766,13589.259766,4501820000
2023-05-18,13608.950195,13844.759766,13606.809570,13834.620117,13834.620117,4532890000
2023-05-19,13842.690430,13874.419922,13763.900391,13803.490234,13803.490234,3935780000
2023-05-22,13805.330078,13893.709961,13792.969727,13849.740234,13849.740234,4278920000
2023-05-23,13773.679688,13827.099609,13662.910156,13672.540039,13672.540039,4347440000
2023-05-24,13589.019531,13655.730469,13520.919922,13604.480469,13604.480469,4088270000
2023-05-25,13920.889648,13986.870117,13812.179688,13938.530273,13938.530273,4651640000
2023-05-26,13990.549805,14329.490234,13982.160156,14298.410156,14298.410156,4434070000
2023-05-30,14465.589844,14520.169922,14301.080078,14354.990234,14354.990234,4843470000
2023-05-31,14293.559570,14375.379883,14216.160156,14254.089844,14254.089844,5905760000
2023-06-01,14269.089844,14493.309570,14219.940430,14441.509766,14441.509766,4610310000
2023-06-02,14517.080078,14595.809570,14442.150391,14546.639648,14546.639648,4426760000
2023-06-05,14550.129883,14662.950195,14516.879883,14556.500000,14556.500000,4344280000
2023-06-06,14526.099609,14593.500000,14476.990234,14558.089844,14558.089844,4810910000
2023-06-07,14573.269531,14647.910156,14283.879883,14303.290039,14303.290039,5270600000
2023-06-08,14319.240234,14503.309570,14314.690430,14484.540039,14484.540039,4280160000
2023-06-09,14574.240234,14672.849609,14487.480469,14528.360352,14528.360352,4412710000
2023-06-12,14617.349609,14789.599609,14571.360352,14784.299805,14784.299805,4722680000
2023-06-13,14911.259766,14931.830078,14770.139648,14900.849609,14900.849609,5522100000
2023-06-14,14894.099609,15017.099609,14784.620117,15005.690430,15005.690430,5772550000
2023-06-15,14949.700195,15246.620117,14930.120117,15185.480469,15185.480469,5667520000
2023-06-16,15272.650391,15284.650391,15073.450195,15083.919922,15083.919922,8076530000
2023-06-20,15036.480469,15127.419922,14946.719727,15070.150391,15070.150391,5237710000
2023-06-21,15019.009766,15038.900391,14826.019531,14867.450195,14867.450195,5194640000
2023-06-22,14797.889648,15044.219727,14794.950195,15042.320313,15042.320313,4499550000
2023-06-23,14879.230469,14983.730469,14821.809570,14891.480469,14891.480469,7734500000
2023-06-26,14866.660156,14982.820313,14687.019531,14689.019531,14689.019531,4430600000
2023-06-27,14751.570313,14972.309570,14726.750000,14945.910156,14945.910156,5053660000
2023-06-28,14876.250000,15051.080078,14865.809570,14964.570313,14964.570313,4533270000
2023-06-29,14965.549805,14986.889648,14876.940430,14939.950195,14939.950195,4388140000
2023-06-30,15085.240234,15213.750000,15081.570313,15179.209961,15179.209961,4661120000
2023-07-03,15190.540039,15232.959961,15153.599609,15208.690430,15208.690430,2902300000
2023-07-05,15165.360352,15275.179688,15162.660156,15203.780273,15203.780273,5339340000
2023-07-06,15054.099609,15106.450195,14969.139648,15089.450195,15089.450195,6113080000
2023-07-07,15070.500000,15210.629883,15032.559570,15036.849609,15036.849609,5098120000
2023-07-10,15031.950195,15066.440430,14924.639648,15045.639648,15045.639648,5275390000
2023-07-11,15068.129883,15135.290039,14974.160156,15119.059570,15119.059570,4840950000
2023-07-12,15279.349609,15364.089844,15209.709961,15307.230469,15307.230469,5230620000
2023-07-13,15432.480469,15602.740234,15420.709961,15571.980469,15571.980469,5183560000
2023-07-14,15610.000000,15720.059570,15531.000000,15565.599609,15565.599609,5366890000
2023-07-17,15608.280273,15745.669922,15576.509766,15713.280273,15713.280273,4593160000
2023-07-18,15671.719727,15895.679688,15607.709961,15841.349609,15841.349609,4824070000
2023-07-19,15888.160156,15932.049805,15781.959961,15826.349609,15826.349609,5112420000
2023-07-20,15717.669922,15771.839844,15429.870117,15466.089844,15466.089844,5128020000
2023-07-21,15554.950195,15600.540039,15410.570313,15425.669922,15425.669922,5254180000
2023-07-24,15475.150391,15504.669922,15374.660156,15448.019531,15448.019531,4083070000
2023-07-25,15483.059570,15622.690430,15482.040039,15561.419922,15561.419922,3812470000
2023-07-26,15514.040039,15571.160156,15411.910156,15499.259766,15499.259766,4322000000
2023-07-27,15734.030273,15795.509766,15416.049805,15464.929688,15464.929688,5115840000
2023-07-28,15630.169922,15788.480469,15617.750000,15750.929688,15750.929688,4453520000
2023-07-31,15774.299805,15803.549805,15702.740234,15757.000000,15757.000000,4934440000
2023-08-01,15696.980469,15748.429688,15636.570313,15718.009766,15718.009766,4633770000
2023-08-02,15561.150391,15561.360352,15321.440430,15370.740234,15370.740234,5481960000
2023-08-03,15287.769531,15436.589844,15270.719727,15353.540039,15353.540039,6036970000
2023-08-04,15420.740234,15523.309570,15258.690430,15274.919922,15274.919922,5349450000
2023-08-07,15355.620117,15410.849609,15258.919922,15407.849609,15407.849609,4892330000
2023-08-08,15279.410156,15295.799805,15148.250000,15273.049805,15273.049805,5284550000
2023-08-09,15286.990234,15288.759766,15077.910156,15101.709961,15101.709961,5591360000
2023-08-10,15217.290039,15366.290039,15072.490234,15128.839844,15128.839844,5299080000
2023-08-11,15010.519531,15102.530273,14973.669922,15028.070313,15028.070313,4638880000
2023-08-14,14988.419922,15206.259766,14972.009766,15205.589844,15205.589844,4272020000
2023-08-15,15172.080078,15192.879883,15014.360352,15037.650391,15037.650391,4473320000
2023-08-16,15021.629883,15077.049805,14874.019531,14876.469727,14876.469727,6243760000
2023-08-17,14943.339844,14949.580078,14698.290039,14715.809570,14715.809570,5280180000
2023-08-18,14589.709961,14744.570313,14557.830078,14694.839844,14694.839844,4801910000
2023-08-21,14762.009766,14958.870117,14739.370117,14936.690430,14936.690430,4363070000
2023-08-22,15035.070313,15037.790039,14883.980469,14908.959961,14908.959961,4282430000
2023-08-23,14947.580078,15188.860352,14947.580078,15148.059570,15148.059570,4127850000
2023-08-24,15278.929688,15279.240234,14814.830078,14816.440430,14816.440430,4383820000
2023-08-25,14858.929688,15001.290039,14715.360352,14941.830078,14941.830078,3970060000
2023-08-28,15035.480469,15086.230469,14948.919922,15052.459961,15052.459961,3666680000
2023-08-29,15043.019531,15391.559570,15034.540039,15376.549805,15376.549805,4748180000
2023-08-30,15386.669922,15484.830078,15341.940430,15462.429688,15462.429688,4364600000
2023-08-31,15475.429688,15575.009766,15466.410156,15501.070313,15501.070313,4568610000
2023-09-01,15600.950195,15618.849609,15429.360352,15490.860352,15490.860352,4033960000
2023-09-05,15460.519531,15556.849609,15419.959961,15508.240234,15508.240234,4379790000
2023-09-06,15467.320313,15487.000000,15289.480469,15371.440430,15371.440430,4215320000
2023-09-07,15174.219727,15288.200195,15138.730469,15258.519531,15258.519531,4320830000
2023-09-08,15265.570313,15374.219727,15244.059570,15280.230469,15280.230469,4160360000
2023-09-11,15409.769531,15482.839844,15328.349609,15461.870117,15461.870117,4538870000
2023-09-12,15390.589844,15447.849609,15278.879883,15289.740234,15289.740234,4595490000
2023-09-13,15293.269531,15414.610352,15256.599609,15348.530273,15348.530273,4840310000
2023-09-14,15433.009766,15512.820313,15337.179688,15473.889648,15473.889648,4649010000
2023-09-15,15425.950195,15435.450195,15173.709961,15202.400391,15202.400391,8162210000
2023-09-18,15161.169922,15268.959961,15155.459961,15225.370117,15225.370117,4855880000
2023-09-19,15152.530273,15219.919922,15069.410156,15191.230469,15191.230469,4453460000
2023-09-20,15225.339844,15245.190430,14967.599609,14969.919922,14969.919922,4782440000
2023-09-21,14813.490234,14849.250000,14691.690430,14694.240234,14694.240234,5014890000
2023-09-22,14756.620117,14855.919922,14686.839844,14701.099609,14701.099609,4302700000
2023-09-25,14662.690430,14771.120117,14615.450195,14768.900391,14768.900391,4100290000
2023-09-26,14668.450195,14678.480469,14505.679688,14545.830078,14545.830078,4693540000
2023-09-27,14600.139648,14657.209961,14432.599609,14580.160156,14580.160156,4841410000
2023-09-28,14530.959961,14787.580078,14510.169922,14702.769531,14702.769531,4648390000
2023-09-29,14853.349609,14901.849609,14664.780273,14715.240234,14715.240234,5138500000
2023-10-02,14717.900391,14892.179688,14701.519531,14837.570313,14837.570313,4554700000
2023-10-03,14744.049805,14819.870117,14504.139648,14565.620117,14565.620117,4684310000
2023-10-04,14613.230469,14803.040039,14592.559570,14776.250000,14776.250000,4308070000
2023-10-05,14769.549805,14784.690430,14584.389648,14723.219727,14723.219727,4167470000
2023-10-06,14622.230469,15021.379883,14575.950195,14973.240234,14973.240234,4309420000
2023-10-09,14871.570313,15070.639648,14816.320313,15047.150391,15047.150391,3835930000
2023-10-10,15074.040039,15241.940430,15050.540039,15131.519531,15131.519531,4301350000
2023-10-11,15194.530273,15248.219727,15119.620117,15241.120117,15241.120117,4160440000
2023-10-12,15264.110352,15333.980469,15090.690430,15184.099609,15184.099609,4858620000
2023-10-13,15225.730469,15232.370117,14943.419922,14995.120117,14995.120117,4251550000
2023-10-16,15054.480469,15209.500000,15047.269531,15172.730469,15172.730469,4308690000
2023-10-17,15009.259766,15187.059570,14932.769531,15122.009766,15122.009766,4417640000
2023-10-18,15022.280273,15103.870117,14865.809570,14909.259766,14909.259766,4617140000
2023-10-19,14981.129883,15023.910156,14749.299805,14783.129883,14783.129883,5014790000
2023-10-20,14752.589844,14781.219727,14552.120117,14560.879883,14560.879883,4622840000
2023-10-23,14514.110352,14746.370117,14419.059570,14604.849609,14604.849609,4669060000
2023-10-24,14678.410156,14774.160156,14610.330078,14745.860352,14745.860352,4604720000
2023-10-25,14642.080078,14643.690430,14362.240234,14381.639648,14381.639648,4599850000
2023-10-26,14314.009766,14372.509766,14058.330078,14109.570313,14109.570313,4894900000
2023-10-27,14245.750000,14321.040039,14130.370117,14180.419922,14180.419922,4172100000
2023-10-30,14283.980469,14388.200195,14225.860352,14335.509766,14335.509766,4149320000
2023-10-31,14340.860352,14420.440430,14232.400391,14409.780273,14409.780273,4315630000
2023-11-01,14453.679688,14677.860352,14441.889648,14664.910156,14664.910156,4545120000
2023-11-02,14856.950195,14930.759766,14792.809570,14919.549805,14919.549805,4962950000
2023-11-03,14985.120117,15149.780273,14965.290039,15099.490234,15099.490234,4918750000
2023-11-06,15137.160156,15180.190430,15064.910156,15154.929688,15154.929688,4345850000
2023-11-07,15201.769531,15335.440430,15153.309570,15296.019531,15296.019531,4354460000
2023-11-08,15313.900391,15343.190430,15220.879883,15313.240234,15313.240234,4685550000
2023-11-09,15351.120117,15382.110352,15171.320313,15187.900391,15187.900391,5313970000
2023-11-10,15252.360352,15535.200195,15237.169922,15529.120117,15529.120117,4722140000
2023-11-13,15469.209961,15524.660156,15404.709961,15482.790039,15482.790039,4349590000
2023-11-14,15744.360352,15850.339844,15726.120117,15812.469727,15812.469727,5332490000
2023-11-15,15881.719727,15904.629883,15765.309570,15817.179688,15817.179688,5063830000
2023-11-16,15765.200195,15842.629883,15738.219727,15833.169922,15833.169922,4545180000
2023-11-17,15803.980469,15876.870117,15766.940430,15837.990234,15837.990234,4408640000
2023-11-20,15845.200195,16056.759766,15844.830078,16027.059570,16027.059570,4561810000
2023-11-21,15951.549805,15968.089844,15866.820313,15933.620117,15933.620117,4128600000
2023-11-22,16025.740234,16119.309570,15964.040039,16001.389648,16001.389648,3855240000
2023-11-24,15974.849609,16007.429688,15940.620117,15982.009766,15982.009766,2541840000
2023-11-27,15969.719727,16045.299805,15932.190430,15961.980469,15961.980469,4205880000
2023-11-28,15940.290039,16031.519531,15921.070313,16010.429688,16010.429688,4474400000
2023-11-29,16111.360352,16166.509766,15976.690430,15987.599609,15987.599609,4890220000
2023-11-30,15987.660156,16013.480469,15825.669922,15947.870117,15947.870117,5678070000
2023-12-01,15892.589844,16013.750000,15834.929688,15997.580078,15997.580078,5607000000
2023-12-04,15837.120117,15852.450195,15695.580078,15839.669922,15839.669922,6270020000
2023-12-05,15763.650391,15931.839844,15760.589844,15877.709961,15877.709961,6179120000
2023-12-06,15990.200195,15990.940430,15776.950195,15788.049805,15788.049805,5167030000
2023-12-07,15888.230469,16042.509766,15875.480469,16022.490234,16022.490234,5694310000
2023-12-08,15952.849609,16100.860352,15937.580078,16084.690430,16084.690430,5430840000
2023-12-11,16069.620117,16232.259766,16061.870117,16221.730469,16221.730469,5607820000
2023-12-12,16209.610352,16354.250000,16175.459961,16354.250000,16354.250000,4950100000
2023-12-13,16392.179688,16581.039063,16357.209961,16562.369141,16562.369141,6732040000
2023-12-14,16603.539063,16660.710938,16419.259766,16537.830078,16537.830078,8033170000
2023-12-15,16587.000000,16669.769531,16557.009766,16623.449219,16623.449219,8377630000
2023-12-18,16631.109375,16764.320313,16629.289063,16729.800781,16729.800781,5866080000
2023-12-19,16734.250000,16813.009766,16733.380859,16811.849609,16811.849609,5757180000
2023-12-20,16763.640625,16860.679688,16552.060547,16554.160156,16554.160156,6294700000
2023-12-21,16719.609375,16768.019531,16621.519531,16757.410156,16757.410156,5465640000
2023-12-22,16799.019531,16839.250000,16703.570313,16777.400391,16777.400391,4796600000
2023-12-26,16816.779297,16907.509766,16813.570313,16878.460938,16878.460938,6120600000
2023-12-27,16896.140625,16922.009766,16859.550781,16906.800781,16906.800781,7480170000
2023-12-28,16963.519531,16969.169922,16891.320313,16898.470703,16898.470703,5090570000
2023-12-29,16902.439453,16919.509766,16757.890625,16825.929688,16825.929688,5441060000
2024-01-02,16667.300781,16686.599609,16453.150391,16543.939453,16543.939453,5791170000
2024-01-03,16413.259766,16471.080078,16352.139648,16368.490234,16368.490234,5449950000
2024-01-04,16290.780273,16419.439453,16276.429688,16282.009766,16282.009766,5289220000
2024-01-05,16281.740234,16415.390625,16249.190430,16305.980469,16305.980469,5232820000
2024-01-08,16354.219727,16655.230469,16349.389648,16649.869141,16649.869141,6337770000
2024-01-09,16531.960938,16710.880859,16513.730469,16678.699219,16678.699219,5068410000
2024-01-10,16702.550781,16827.369141,16654.740234,16793.050781,16793.050781,4404590000
2024-01-11,16852.189453,16898.160156,16618.859375,16820.900391,16820.900391,5044690000
2024-01-12,16855.000000,16900.369141,16776.919922,16832.919922,16832.919922,4958940000
2024-01-16,16775.099609,16895.330078,16726.589844,16830.710938,16830.710938,6386180000
2024-01-17,16705.509766,16749.109375,16561.490234,16736.279297,16736.279297,5181740000
2024-01-18,16894.330078,16996.980469,16818.130859,16982.289063,16982.289063,5587440000
2024-01-19,17060.140625,17317.210938,17041.849609,17314.000000,17314.000000,5604950000
2024-01-22,17403.619141,17450.300781,17309.869141,17330.380859,17330.380859,5456240000
2024-01-23,17346.949219,17410.859375,17286.019531,17404.210938,17404.210938,5207680000
2024-01-24,17562.320313,17665.259766,17481.970703,17499.300781,17499.300781,4983210000
2024-01-25,17589.269531,17631.339844,17430.369141,17516.990234,17516.990234,5281570000
2024-01-26,17432.869141,17514.759766,17395.539063,17421.009766,17421.009766,4510530000
2024-01-29,17438.029297,17603.949219,17414.619141,17596.269531,17596.269531,4979310000
2024-01-30,17556.490234,17578.460938,17443.769531,17476.710938,17476.710938,4719240000
2024-01-31,17269.980469,17375.320313,17128.740234,17137.240234,17137.240234,5875610000
2024-02-01,17216.990234,17356.759766,17175.830078,17344.710938,17344.710938,5046920000
2024-02-02,17415.939453,17682.289063,17378.369141,17642.730469,17642.730469,4800690000
2024-02-05,17634.689453,17655.769531,17469.619141,17613.039063,17613.039063,4831020000
2024-02-06,17664.439453,17680.619141,17475.429688,17572.730469,17572.730469,4759640000
2024-02-07,17674.589844,17784.169922,17637.730469,17755.070313,17755.070313,4567580000
2024-02-08,17757.599609,17814.119141,17728.550781,17783.169922,17783.169922,5675850000
2024-02-09,17820.980469,17987.900391,17798.810547,17962.410156,17962.410156,5797260000
2024-02-12,17942.279297,18041.449219,17859.660156,17882.660156,17882.660156,5458490000
2024-02-13,17519.800781,17717.669922,17478.230469,17600.419922,17600.419922,5599860000
2024-02-14,17728.900391,17815.179688,17619.919922,17807.630859,17807.630859,5092660000
2024-02-15,17815.320313,17864.589844,17722.310547,17845.720703,17845.720703,6049100000
2024-02-16,17853.589844,17864.160156,17663.400391,17685.980469,17685.980469,5223800000
2024-02-20,17591.169922,17657.080078,17399.410156,17546.099609,17546.099609,5595700000
2024-02-21,17412.789063,17482.130859,17319.439453,17478.910156,17478.910156,4845740000
2024-02-22,17857.759766,18034.800781,17808.259766,18004.699219,18004.699219,5653930000
2024-02-23,18052.589844,18091.619141,17902.779297,17937.609375,17937.609375,5077910000
2024-02-26,17970.210938,18014.109375,17926.660156,17933.330078,17933.330078,5417630000
2024-02-27,17962.580078,17987.539063,17871.060547,17971.050781,17971.050781,5423020000
2024-02-28,17895.029297,17931.009766,17840.359375,17874.500000,17874.500000,5581690000
2024-02-29,17991.669922,18068.519531,17866.259766,18043.849609,18043.849609,6265340000
2024-03-01,18069.289063,18333.259766,18064.439453,18302.910156,18302.910156,5457910000
2024-03-04,18290.099609,18313.429688,18218.250000,18226.480469,18226.480469,5725470000
2024-03-05,18088.710938,18097.500000,17804.500000,17897.869141,17897.869141,6356800000
2024-03-06,18083.509766,18142.880859,17941.640625,18017.570313,18017.570313,5511370000
2024-03-07,18161.730469,18337.949219,18101.429688,18297.990234,18297.990234,5072790000
2024-03-08,18312.789063,18416.730469,17995.380859,18018.449219,18018.449219,5411790000
2024-03-11,17959.679688,18003.050781,17873.330078,17951.689453,17951.689453,4917620000
2024-03-12,18063.019531,18228.369141,17919.330078,18219.109375,18219.109375,5100330000
2024-03-13,18151.759766,18163.740234,18030.400391,18068.470703,18068.470703,4839000000
2024-03-14,18114.689453,18142.900391,17913.630859,18014.810547,18014.810547,5450980000
2024-03-15,17926.919922,17930.470703,17764.990234,17808.250000,17808.250000,8261950000
2024-03-18,18024.240234,18124.320313,17973.089844,17985.009766,17985.009766,5025040000
