"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2019","14.48","15.63","15.97","14.48","","-5.73%"
"12/30/2019","15.36","14.81","16.12","14.59","","9.48%"
"12/27/2019","14.03","12.67","14.23","12.64","","11.53%"
"12/26/2019","12.58","11.24","12.82","9.88","","1.78%"
"12/24/2019","12.36","12.52","12.54","12.26","","0.16%"
"12/23/2019","12.34","12.51","12.52","12.07","","4.75%"
"12/20/2019","11.78","11.62","11.96","11.49","","0.43%"
"12/19/2019","11.73","12.23","12.23","11.71","","-1.84%"
"12/18/2019","11.95","11.76","11.95","11.57","","1.36%"
"12/17/2019","11.79","11.68","11.94","11.58","","0.51%"
"12/16/2019","11.73","12.30","12.30","11.52","","-6.53%"
"12/13/2019","12.55","14.16","14.54","12.49","","-11.12%"
"12/12/2019","14.12","15.41","15.51","13.73","","-4.40%"
"12/11/2019","14.77","15.33","15.58","14.66","","-4.77%"
"12/10/2019","15.51","15.42","16.02","14.90","","0.26%"
"12/09/2019","15.47","14.83","15.48","14.50","","8.64%"
"12/06/2019","14.24","14.95","14.95","14.10","","-10.50%"
"12/05/2019","15.91","16.05","16.92","15.84","","-0.75%"
"12/04/2019","16.03","16.18","16.20","15.35","","-4.18%"
"12/03/2019","16.73","17.71","18.60","16.63","","8.50%"
"12/02/2019","15.42","13.86","16.13","13.86","","15.68%"
"11/29/2019","13.33","13.08","13.48","13.08","","8.46%"
"11/27/2019","12.29","12.41","12.50","12.06","","-1.60%"
"11/26/2019","12.49","12.82","12.93","12.35","","-2.73%"
"11/25/2019","12.84","13.65","13.65","12.80","","-6.14%"
"11/22/2019","13.68","14.07","14.78","13.66","","-4.40%"
"11/21/2019","14.31","13.93","14.75","13.92","","6.00%"
"11/20/2019","13.50","13.47","14.81","13.16","","2.90%"
"11/19/2019","13.12","12.91","13.47","12.89","","0.46%"
"11/18/2019","13.06","13.53","13.83","12.97","","1.32%"
"11/15/2019","12.89","13.72","13.87","12.88","","-8.97%"
"11/14/2019","14.16","14.79","14.88","14.05","","-0.70%"
"11/13/2019","14.26","14.48","14.62","13.91","","1.78%"
