"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2019","128.42","128.61","128.61","128.25","850.93K","-0.09%"
"12/30/2019","128.53","128.61","128.69","128.16","891.50K","-0.10%"
"12/27/2019","128.66","128.41","128.67","128.39","667.29K","0.22%"
"12/26/2019","128.38","128.36","128.47","128.20","402.21K","0.02%"
"12/25/2019","128.35","128.38","128.38","128.35","","0.03%"
"12/24/2019","128.31","128.14","128.39","128.00","398.67K","0.17%"
"12/23/2019","128.09","128.22","128.39","128.05","620.13K","-0.12%"
"12/20/2019","128.25","128.20","128.27","127.97","806.75K","-0.24%"
"12/19/2019","128.56","128.34","128.55","128.28","0.50K","0.18%"
"12/18/2019","128.33","128.64","128.77","128.25","1.47K","-0.19%"
"12/17/2019","128.58","128.73","128.78","128.56","2.84K","0.04%"
"12/16/2019","128.53","129.00","129.00","128.53","3.70K","-0.43%"
"12/13/2019","129.09","128.14","129.11","128.02","6.16K","0.51%"
"12/12/2019","128.44","129.27","129.41","128.27","5.18K","-0.67%"
"12/11/2019","129.30","128.91","129.34","128.91","3.74K","0.28%"
"12/10/2019","128.94","129.08","129.22","128.84","5.64K","-0.05%"
"12/09/2019","129.00","128.91","129.17","128.89","6.19K","0.07%"
"12/06/2019","128.91","129.22","129.38","128.69","20.83K","-0.31%"
"12/05/2019","129.31","129.48","129.61","129.09","26.07K","-0.08%"
"12/04/2019","129.41","129.91","130.05","129.38","40.73K","-0.43%"
"12/03/2019","129.97","129.03","130.06","128.81","81.15K","0.84%"
"12/02/2019","128.89","129.17","129.20","128.70","108.41K","-0.32%"
"11/29/2019","129.30","129.36","129.53","129.16","154.27K","-0.06%"
"11/28/2019","129.38","129.55","129.62","129.35","","0.00%"
"11/27/2019","129.38","129.67","129.69","129.30","1.31M","-0.24%"
"11/26/2019","129.69","129.55","129.77","129.36","2.60M","0.13%"
"11/25/2019","129.52","129.44","129.59","129.25","2.88M","0.05%"
"11/22/2019","129.45","129.47","129.70","129.33","2.35M","-0.02%"
"11/21/2019","129.48","129.88","130.06","129.39","2.58M","-0.25%"
"11/20/2019","129.80","129.45","129.89","129.44","2.14M","0.28%"
"11/19/2019","129.44","129.27","129.50","129.16","1.26M","0.09%"
"11/18/2019","129.33","129.14","129.45","128.97","1.20M","0.15%"
"11/15/2019","129.14","129.27","129.31","129.02","978.64K","-0.15%"
"11/14/2019","129.34","128.73","129.47","128.69","1.64M","0.35%"
"11/13/2019","128.89","128.33","128.92","128.33","1.48M","0.28%"
"11/12/2019","128.53","128.39","128.58","128.14","1.37M","0.11%"
"11/11/2019","128.39","128.25","128.58","128.22","344.60K","0.00%"
"11/08/2019","128.39","128.42","128.69","128.11","1.76M","0.00%"
"11/07/2019","128.39","129.20","129.38","127.98","2.62M","-0.73%"
"11/06/2019","129.33","128.97","129.39","128.94","1.48M","0.32%"
"11/05/2019","128.92","129.62","129.66","128.86","1.79M","-0.51%"
"11/04/2019","129.58","130.03","130.08","129.53","1.11M","-0.34%"
"11/01/2019","130.02","130.27","130.48","129.84","1.62M","-0.21%"
"10/31/2019","130.30","129.72","130.41","129.53","2.20M","0.63%"
"10/30/2019","129.48","129.23","129.72","129.11","1.41M","0.16%"
"10/29/2019","129.27","129.17","129.36","129.05","1.11M","0.09%"
"10/28/2019","129.16","129.58","129.58","129.05","1.10M","-0.29%"
"10/25/2019","129.53","129.86","129.97","129.36","1.25M","-0.24%"
"10/24/2019","129.84","129.83","130.06","129.64","1.32M","-0.02%"
"10/23/2019","129.86","129.88","130.14","129.77","887.40K","0.04%"
"10/22/2019","129.81","129.58","129.86","129.47","1.03M","0.15%"
"10/21/2019","129.62","130.09","130.12","129.53","926.76K","-0.32%"
"10/18/2019","130.03","129.92","130.17","129.77","894.04K","0.09%"
"10/17/2019","129.91","130.03","130.19","129.52","1.46M","-0.05%"
"10/16/2019","129.98","129.80","130.23","129.77","1.48M","0.16%"
"10/15/2019","129.77","130.28","130.55","129.70","1.44M","-0.35%"
"10/14/2019","130.22","130.06","130.59","129.94","451.65K","0.26%"
"10/11/2019","129.88","130.64","130.81","129.72","2.09M","-0.63%"
"10/10/2019","130.70","131.36","131.75","130.59","1.91M","-0.44%"
"10/09/2019","131.28","131.75","131.81","131.25","1.19M","-0.32%"
"10/08/2019","131.70","131.48","131.95","131.20","1.40M","0.14%"
"10/07/2019","131.52","131.91","131.98","131.41","1.08M","-0.30%"
"10/04/2019","131.91","131.70","132.03","131.48","1.60M","0.12%"
"10/03/2019","131.75","131.06","131.97","131.05","1.92M","0.47%"
"10/02/2019","131.14","130.69","131.25","130.44","1.82M","0.37%"
"10/01/2019","130.66","130.38","130.92","129.62","2.17M","0.27%"
"09/30/2019","130.31","130.22","130.39","130.03","1.21M","-0.06%"
"09/27/2019","130.39","130.22","130.41","129.94","1.33M","0.08%"
"09/26/2019","130.28","129.92","130.39","129.91","1.54M","0.25%"
"09/25/2019","129.95","130.58","130.75","129.89","1.78M","-0.59%"
"09/24/2019","130.72","129.97","130.78","129.92","1.69M","0.49%"
"09/23/2019","130.08","129.77","130.42","129.58","1.51M","0.30%"
"09/20/2019","129.69","129.50","129.97","129.38","1.24M","0.60%"
"09/19/2019","128.92","128.53","129.05","128.53","4.11K","0.09%"
"09/18/2019","128.81","128.73","129.25","128.67","4.09K","0.07%"
"09/17/2019","128.72","128.44","128.86","128.44","5.74K","0.15%"
"09/16/2019","128.53","128.38","128.67","128.25","4.83K","0.35%"
"09/13/2019","128.08","128.95","129.11","128.06","4.10K","-0.63%"
"09/12/2019","128.89","129.30","129.78","128.86","8.37K","-0.35%"
"09/11/2019","129.34","129.38","129.50","129.20","5.57K","-0.17%"
"09/10/2019","129.56","130.08","130.22","129.25","14.70K","-0.53%"
"09/09/2019","130.25","130.64","130.67","130.02","13.59K","-0.37%"
"09/06/2019","130.73","130.67","130.83","130.23","18.69K","0.05%"
"09/05/2019","130.66","131.53","131.56","130.45","43.58K","-0.72%"
"09/04/2019","131.61","131.48","131.66","131.22","30.30K","0.12%"
"09/03/2019","131.45","131.25","131.72","130.86","79.35K","-0.21%"
"09/02/2019","131.73","131.88","131.88","131.55","","-0.11%"
"09/01/2019","131.88","131.76","131.99","131.76","","0.63%"
"08/30/2019","131.05","131.09","131.14","130.75","134.48K","0.08%"
"08/29/2019","130.95","131.31","131.53","130.81","1.12M","-0.31%"
"08/28/2019","131.36","131.25","131.52","131.12","2.28M","0.17%"
"08/27/2019","131.14","130.86","131.30","130.84","3.32M","0.28%"
"08/26/2019","130.78","131.31","131.61","130.75","2.77M","-0.13%"
"08/23/2019","130.95","130.25","131.16","129.88","3.17M","0.50%"
"08/22/2019","130.30","130.47","130.73","130.12","1.94M","-0.18%"
"08/21/2019","130.53","130.75","130.80","130.33","1.48M","-0.15%"
"08/20/2019","130.73","130.36","130.95","130.36","1.32M","0.22%"
"08/19/2019","130.44","130.81","130.81","130.30","1.30M","-0.37%"
"08/16/2019","130.92","130.91","131.09","130.41","1.55M","-0.02%"
"08/15/2019","130.95","130.44","131.34","130.31","2.72M","0.33%"
"08/14/2019","130.52","129.67","130.69","129.66","2.10M","0.53%"
"08/13/2019","129.83","130.28","130.53","129.53","2.23M","-0.42%"
"08/12/2019","130.38","129.67","130.45","129.61","1.15M","0.53%"
"08/09/2019","129.69","130.00","130.27","129.55","1.59M","-0.18%"
"08/08/2019","129.92","129.73","130.02","129.38","2.06M","-0.18%"
"08/07/2019","130.16","130.02","130.86","129.72","2.91M","0.30%"
"08/06/2019","129.77","130.16","130.33","129.47","2.31M","-0.05%"
"08/05/2019","129.84","128.91","130.00","128.84","2.63M","0.76%"
"08/02/2019","128.86","128.56","129.14","128.45","2.31M","0.13%"
"08/01/2019","128.69","127.50","128.81","127.14","3.14M","1.00%"
"07/31/2019","127.42","127.36","127.70","127.02","2.40M","0.06%"
"07/30/2019","127.34","127.36","127.55","127.23","1.15M","-0.09%"
"07/29/2019","127.45","127.31","127.50","127.28","867.37K","0.18%"
"07/26/2019","127.22","127.23","127.38","127.03","1.00M","-0.05%"
"07/25/2019","127.28","127.53","127.84","127.08","1.99M","-0.19%"
"07/24/2019","127.52","127.28","127.67","127.27","1.13M","0.13%"
"07/23/2019","127.36","127.56","127.61","127.28","1.08M","-0.18%"
"07/22/2019","127.59","127.48","127.69","127.34","816.91K","0.05%"
"07/19/2019","127.53","127.78","127.86","127.38","1.26M","-0.09%"
"07/18/2019","127.64","127.45","127.81","127.23","1.74M","0.22%"
"07/17/2019","127.36","127.03","127.53","126.97","1.07M","0.35%"
"07/16/2019","126.92","127.20","127.25","126.72","1.32M","-0.20%"
"07/15/2019","127.17","127.00","127.22","126.84","931.07K","0.05%"
"07/12/2019","127.11","126.86","127.14","126.78","1.15M","0.10%"
"07/11/2019","126.98","127.44","127.64","126.75","1.75M","-0.36%"
"07/10/2019","127.44","127.23","127.58","126.86","1.90M","0.11%"
"07/09/2019","127.30","127.39","127.50","127.16","1.23M","-0.16%"
"07/08/2019","127.50","127.47","127.73","127.33","1.18M","0.02%"
"07/05/2019","127.47","128.25","128.41","127.27","1.99M","-0.65%"
"07/04/2019","128.30","128.26","128.41","128.24","","0.04%"
"07/03/2019","128.25","128.16","128.44","128.14","1.23M","0.09%"
"07/02/2019","128.14","127.75","128.17","127.72","1.17M","0.35%"
"07/01/2019","127.69","127.61","127.97","127.53","1.48M","-0.22%"
"06/28/2019","127.97","127.86","128.00","127.69","1.36M","0.02%"
"06/27/2019","127.94","127.62","127.95","127.38","1.36M","0.27%"
"06/26/2019","127.59","128.17","128.19","127.56","1.37M","-0.41%"
"06/25/2019","128.12","127.97","128.25","127.89","1.65M","0.14%"
"06/24/2019","127.94","127.64","127.98","127.53","987.02K","0.33%"
"06/21/2019","127.52","127.80","128.02","127.44","1.60M","-0.42%"
"06/20/2019","128.06","127.88","128.27","127.67","2.24M","0.91%"
"06/19/2019","126.91","127.02","127.02","126.83","0.90K","-0.18%"
"06/18/2019","127.14","126.91","127.50","126.91","6.27K","0.13%"
"06/17/2019","126.97","126.88","127.05","126.75","12.68K","0.02%"
"06/14/2019","126.94","127.08","127.28","126.84","9.38K","-0.05%"
"06/13/2019","127.00","126.70","127.08","126.69","13.31K","0.28%"
"06/12/2019","126.64","126.44","126.73","126.44","7.20K","0.16%"
"06/11/2019","126.44","126.39","126.48","126.20","8.52K","0.00%"
"06/10/2019","126.44","126.58","126.69","126.39","12.13K","-0.35%"
"06/07/2019","126.89","126.66","127.25","126.58","13.64K","0.22%"
"06/06/2019","126.61","126.62","126.91","126.52","26.92K","-0.02%"
"06/05/2019","126.64","126.44","127.06","126.41","75.36K","0.04%"
"06/04/2019","126.59","126.95","127.05","126.33","92.95K","-0.24%"
"06/03/2019","126.89","126.31","127.08","126.31","177.82K","0.40%"
"05/31/2019","126.38","125.75","126.50","125.73","403.79K","0.55%"
"05/30/2019","125.69","125.38","125.81","125.20","1.41M","0.06%"
"05/29/2019","125.62","125.41","125.84","125.34","3.18M","0.18%"
