STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_HORIZ,Time horizon,METHODOLOGY,Calculation methodology,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2015-01,,0.3538855,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2015-02,,-0.2115825,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2015-03,,-0.1884722,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2015-04,,0.2281673,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2015-05,,-0.408196,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2015-06,,0.4256332,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2015-07,,-0.2354607,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2015-08,,-0.09440656,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2015-09,,-0.3701085,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2015-10,,0.2213092,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2015-11,,0.1025239,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2015-12,,0.1024189,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2016-01,,-0.04722191,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2016-02,,-0.02362201,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2016-03,,-0.05513131,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2016-04,,-0.1576047,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2016-05,,0.4498824,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2016-06,,-0.09428788,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2016-07,,-0.2752659,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2016-08,,-0.01577288,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2016-09,,0.1104278,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2016-10,,-0.3151597,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2016-11,,0.5216575,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2016-12,,0.3459669,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2017-01,,0.02350735,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2017-02,,-0.1723465,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2017-03,,0.04708479,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2017-04,,0.007843707,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2017-05,,0.007843191,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2017-06,,-0.1568507,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2017-07,,-0.1335325,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2017-08,,0.2674222,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2017-09,,-0.1333545,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2017-10,,0.4398719,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2017-11,,-0.17205,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2017-12,,-0.2036822,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2018-01,,-0.01569993,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2018-02,,0.3140462,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2018-03,,0.1330519,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2018-04,,-0.2032207,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2018-05,,-0.06265677,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2018-06,,0.01567399,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2018-07,,-0.02350725,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2018-08,,-0.1332396,,A,Normal value,0,Units,2,Two,,
