,Date,Volatility,stock_returns,stock_volume,US_log_inflation,US_interest_rate,consumer_barometer,Volatility_lag1,stock_returns_lag1,stock_volume_lag1,US_log_inflation_lag1,US_interest_rate_lag1,consumer_barometer_lag1
1254,2015-01-06,19.05,-1.3408362702987313,66205500,-0.639069349248711,0.75,0.3538855,18.0,-1.4668682143884448,36521300.0,-0.639069349248711,0.75,0.3538855
1253,2015-01-07,17.2,1.289125130876162,37577400,-0.639069349248711,0.75,0.3538855,19.05,-1.3408362702987313,66205500.0,-0.639069349248711,0.75,0.3538855
1252,2015-01-08,16.61,1.9139597349991857,40212600,-0.639069349248711,0.75,0.3538855,17.2,1.289125130876162,37577400.0,-0.639069349248711,0.75,0.3538855
1251,2015-01-09,16.6,-0.658281769524621,41410100,-0.639069349248711,0.75,0.3538855,16.61,1.9139597349991857,40212600.0,-0.639069349248711,0.75,0.3538855
1250,2015-01-12,17.88,-1.0427010595666717,34129800,-0.639069349248711,0.75,0.3538855,16.6,-0.658281769524621,41410100.0,-0.639069349248711,0.75,0.3538855
1249,2015-01-13,18.42,-0.029527901308796286,56162300,-0.639069349248711,0.75,0.3538855,17.88,-1.0427010595666717,34129800.0,-0.639069349248711,0.75,0.3538855
1248,2015-01-14,18.89,-0.5516042190858812,51354200,-0.639069349248711,0.75,0.3538855,18.42,-0.029527901308796286,56162300.0,-0.639069349248711,0.75,0.3538855
1247,2015-01-15,21.53,-1.2975617929842582,51005400,-0.639069349248711,0.75,0.3538855,18.89,-0.5516042190858812,51354200.0,-0.639069349248711,0.75,0.3538855
1246,2015-01-16,19.81,1.174097734439556,35362200,-0.639069349248711,0.75,0.3538855,21.53,-1.2975617929842582,51005400.0,-0.639069349248711,0.75,0.3538855
1245,2015-01-20,18.2,0.7935053969487815,30964100,-0.639069349248711,0.75,0.3538855,19.81,1.174097734439556,35362200.0,-0.639069349248711,0.75,0.3538855
1244,2015-01-21,17.35,0.5117028622036003,40128800,-0.639069349248711,0.75,0.3538855,18.2,0.7935053969487815,30964100.0,-0.639069349248711,0.75,0.3538855
1243,2015-01-22,15.66,1.8504231161173268,40887200,-0.639069349248711,0.75,0.3538855,17.35,0.5117028622036003,40128800.0,-0.639069349248711,0.75,0.3538855
1242,2015-01-23,15.47,0.22110026985742104,34783000,-0.639069349248711,0.75,0.3538855,15.66,1.8504231161173268,40887200.0,-0.639069349248711,0.75,0.3538855
1241,2015-01-26,14.76,-0.11510342724652968,19960900,-0.639069349248711,0.75,0.3538855,15.47,0.22110026985742104,34783000.0,-0.639069349248711,0.75,0.3538855
1240,2015-01-27,16.7,-2.5926442078347036,45253200,-0.639069349248711,0.75,0.3538855,14.76,-0.11510342724652968,19960900.0,-0.639069349248711,0.75,0.3538855
1239,2015-01-28,18.41,-0.5126594349477053,43591700,-0.639069349248711,0.75,0.3538855,16.7,-2.5926442078347036,45253200.0,-0.639069349248711,0.75,0.3538855
1238,2015-01-29,17.69,0.9611764704503013,46539700,-0.639069349248711,0.75,0.3538855,18.41,-0.5126594349477053,43591700.0,-0.639069349248711,0.75,0.3538855
1237,2015-01-30,19.51,-0.7753704763242117,42927600,-0.639069349248711,0.75,0.3538855,17.69,0.9611764704503013,46539700.0,-0.639069349248711,0.75,0.3538855
1236,2015-02-02,18.06,0.870455320213642,43624700,0.25314368884981064,0.75,-0.2115825,19.51,-0.7753704763242117,42927600.0,-0.639069349248711,0.75,0.3538855
1235,2015-02-03,16.07,0.9609796848722023,30750400,0.25314368884981064,0.75,-0.2115825,18.06,0.870455320213642,43624700.0,0.25314368884981064,0.75,-0.2115825
1234,2015-02-04,16.21,-0.08741860709230784,34073200,0.25314368884981064,0.75,-0.2115825,16.07,0.9609796848722023,30750400.0,0.25314368884981064,0.75,-0.2115825
1233,2015-02-05,16.31,0.8651474752395657,23605500,0.25314368884981064,0.75,-0.2115825,16.21,-0.08741860709230784,34073200.0,0.25314368884981064,0.75,-0.2115825
