,Date,rf_rate
250,2015-01-02,0.02
249,2015-01-05,0.03
248,2015-01-06,0.03
247,2015-01-07,0.03
246,2015-01-08,0.03
245,2015-01-09,0.02
244,2015-01-12,0.03
243,2015-01-13,0.03
242,2015-01-14,0.04
241,2015-01-15,0.03
240,2015-01-16,0.03
239,2015-01-20,0.03
238,2015-01-21,0.03
237,2015-01-22,0.03
236,2015-01-23,0.02
235,2015-01-26,0.03
234,2015-01-27,0.02
233,2015-01-28,0.02
232,2015-01-29,0.03
231,2015-01-30,0.02
230,2015-02-02,0.02
229,2015-02-03,0.02
228,2015-02-04,0.01
227,2015-02-05,0.02
226,2015-02-06,0.02
225,2015-02-09,0.01
224,2015-02-10,0.01
223,2015-02-11,0.01
222,2015-02-12,0.02
221,2015-02-13,0.01
220,2015-02-17,0.02
219,2015-02-18,0.02
218,2015-02-19,0.02
217,2015-02-20,0.02
216,2015-02-23,0.02
215,2015-02-24,0.02
214,2015-02-25,0.02
213,2015-02-26,0.03
212,2015-02-27,0.02
211,2015-03-02,0.02
210,2015-03-03,0.02
209,2015-03-04,0.01
208,2015-03-05,0.02
207,2015-03-06,0.01
206,2015-03-09,0.02
205,2015-03-10,0.02
204,2015-03-11,0.03
203,2015-03-12,0.03
202,2015-03-13,0.03
201,2015-03-16,0.05
200,2015-03-17,0.05
199,2015-03-18,0.03
198,2015-03-19,0.03
197,2015-03-20,0.01
196,2015-03-23,0.03
195,2015-03-24,0.02
194,2015-03-25,0.04
193,2015-03-26,0.03
192,2015-03-27,0.04
191,2015-03-30,0.04
190,2015-03-31,0.03
189,2015-04-01,0.03
188,2015-04-02,0.02
187,2015-04-03,0.02
186,2015-04-06,0.03
185,2015-04-07,0.02
184,2015-04-08,0.03
183,2015-04-09,0.03
182,2015-04-10,0.02
181,2015-04-13,0.03
180,2015-04-14,0.02
179,2015-04-15,0.02
178,2015-04-16,0.02
177,2015-04-17,0.01
176,2015-04-20,0.03
175,2015-04-21,0.03
174,2015-04-22,0.03
173,2015-04-23,0.03
172,2015-04-24,0.03
171,2015-04-27,0.02
170,2015-04-28,0.02
169,2015-04-29,0.01
168,2015-04-30,0.01
167,2015-05-01,0.01
166,2015-05-04,0.02
165,2015-05-05,0.01
164,2015-05-06,0.02
163,2015-05-07,0.01
162,2015-05-08,0.01
161,2015-05-11,0.02
160,2015-05-12,0.03
159,2015-05-13,0.02
158,2015-05-14,0.01
157,2015-05-15,0.02
156,2015-05-18,0.02
155,2015-05-19,0.02
154,2015-05-20,0.02
153,2015-05-21,0.02
152,2015-05-22,0.02
151,2015-05-26,0.02
150,2015-05-27,0.01
149,2015-05-28,0.01
148,2015-05-29,0.01
147,2015-06-01,0.02
146,2015-06-02,0.01
145,2015-06-03,0.02
144,2015-06-04,0.02
143,2015-06-05,0.03
142,2015-06-08,0.02
141,2015-06-09,0.02
140,2015-06-10,0.02
139,2015-06-11,0.01
138,2015-06-12,0.02
137,2015-06-15,0.02
136,2015-06-16,0.01
135,2015-06-17,0.01
134,2015-06-18,0.01
133,2015-06-19,0.01
132,2015-06-22,0.01
131,2015-06-23,0.01
130,2015-06-24,0.01
129,2015-06-25,0.01
128,2015-06-26,0.01
127,2015-06-29,0.02
126,2015-06-30,0.01
125,2015-07-01,0.01
124,2015-07-02,0.01
123,2015-07-06,0.02
122,2015-07-07,0.02
121,2015-07-08,0.02
120,2015-07-09,0.03
119,2015-07-10,0.01
118,2015-07-13,0.02
117,2015-07-14,0.01
116,2015-07-15,0.02
115,2015-07-16,0.02
114,2015-07-17,0.03
113,2015-07-20,0.04
112,2015-07-21,0.03
111,2015-07-22,0.04
110,2015-07-23,0.03
109,2015-07-24,0.04
108,2015-07-27,0.05
107,2015-07-28,0.05
106,2015-07-29,0.06
105,2015-07-30,0.07
104,2015-07-31,0.08
103,2015-08-03,0.08
102,2015-08-04,0.08
101,2015-08-05,0.08
100,2015-08-06,0.04
99,2015-08-07,0.06
98,2015-08-10,0.12
97,2015-08-11,0.1
96,2015-08-12,0.1
95,2015-08-13,0.1
94,2015-08-14,0.09
93,2015-08-17,0.1
92,2015-08-18,0.07
91,2015-08-19,0.05
90,2015-08-20,0.02
89,2015-08-21,0.03
88,2015-08-24,0.06
87,2015-08-25,0.07
86,2015-08-26,0.06
85,2015-08-27,0.06
84,2015-08-28,0.06
83,2015-08-31,0.08
82,2015-09-01,0.03
81,2015-09-02,0.03
80,2015-09-03,0.02
79,2015-09-04,0.02
78,2015-09-08,0.06
77,2015-09-09,0.03
76,2015-09-10,0.02
75,2015-09-11,0.04
74,2015-09-14,0.07
73,2015-09-15,0.07
72,2015-09-16,0.06
71,2015-09-17,0.01
70,2015-09-18,-0.01
69,2015-09-21,0.01
68,2015-09-22,-0.01
67,2015-09-23,0.01
66,2015-09-24,0.01
65,2015-09-25,-0.01
64,2015-09-28,0.01
63,2015-09-29,0.01
62,2015-09-30,-0.01
61,2015-10-01,-0.02
60,2015-10-02,0.0
59,2015-10-05,0.01
58,2015-10-06,0.0
57,2015-10-07,0.0
56,2015-10-08,-0.01
55,2015-10-09,0.01
54,2015-10-13,0.01
53,2015-10-14,0.0
52,2015-10-15,0.01
51,2015-10-16,0.01
50,2015-10-19,0.02
49,2015-10-20,0.02
48,2015-10-21,0.01
47,2015-10-22,0.0
46,2015-10-23,0.01
45,2015-10-26,0.02
44,2015-10-27,0.03
43,2015-10-28,0.04
42,2015-10-29,0.07
41,2015-10-30,0.08
40,2015-11-02,0.08
39,2015-11-03,0.06
38,2015-11-04,0.05
37,2015-11-05,0.05
36,2015-11-06,0.08
35,2015-11-09,0.14
34,2015-11-10,0.13
33,2015-11-12,0.14
32,2015-11-13,0.13
31,2015-11-16,0.15
30,2015-11-17,0.14
29,2015-11-18,0.12
28,2015-11-19,0.11
27,2015-11-20,0.11
26,2015-11-23,0.14
25,2015-11-24,0.16
24,2015-11-25,0.19
23,2015-11-27,0.17
22,2015-11-30,0.22
21,2015-12-01,0.21
20,2015-12-02,0.21
19,2015-12-03,0.21
18,2015-12-04,0.22
17,2015-12-07,0.3
16,2015-12-08,0.27
15,2015-12-09,0.26
14,2015-12-10,0.24
13,2015-12-11,0.22
12,2015-12-14,0.26
11,2015-12-15,0.25
