DATE,CPIAUCSL
2015-01-01,234.747
2015-02-01,235.342
2015-03-01,235.976
2015-04-01,236.222
2015-05-01,237.001
2015-06-01,237.657
2015-07-01,238.034
2015-08-01,238.033
2015-09-01,237.498
2015-10-01,237.733
2015-11-01,238.017
2015-12-01,237.761
2016-01-01,237.652
2016-02-01,237.336
2016-03-01,238.080
2016-04-01,238.992
2016-05-01,239.557
2016-06-01,240.222
2016-07-01,240.101
2016-08-01,240.545
2016-09-01,241.176
2016-10-01,241.741
2016-11-01,242.026
2016-12-01,242.637
2017-01-01,243.618
2017-02-01,244.006
2017-03-01,243.892
2017-04-01,244.193
2017-05-01,244.004
2017-06-01,244.163
2017-07-01,244.243
2017-08-01,245.183
2017-09-01,246.435
2017-10-01,246.626
2017-11-01,247.284
2017-12-01,247.805
2018-01-01,248.859
2018-02-01,249.529
2018-03-01,249.577
2018-04-01,250.227
2018-05-01,250.792
2018-06-01,251.018
2018-07-01,251.214
2018-08-01,251.663
2018-09-01,252.182
2018-10-01,252.772
2018-11-01,252.594
2018-12-01,252.767
2019-01-01,252.561
2019-02-01,253.319
2019-03-01,254.277
2019-04-01,255.233
2019-05-01,255.296
2019-06-01,255.213
2019-07-01,255.802
2019-08-01,256.036
2019-09-01,256.430
2019-10-01,257.155
2019-11-01,257.879
2019-12-01,258.630
